"Year","Media","Pais"
"1950","13.04","Afghanistan"
"1950","23.88","Africa"
"1950","5.96","Åland"
"1950","13.81","Albania"
"1950","22.78","Algeria"
"1950","26.52","American Samoa"
"1950","11.81","Andorra"
"1950","21.57","Angola"
"1950","26.27","Anguilla"
"1950","26.05","Antigua And Barbuda"
"1950","14.8","Argentina"
"1950","8.21","Armenia"
"1950","27.49","Aruba"
"1950","7.17","Asia"
"1950","21.32","Australia"
"1950","7.04","Austria"
"1950","10.89","Azerbaijan"
"1950","25","Bahamas"
"1950","25.44","Bahrain"
"1950","25.54","Baker Island"
"1950","25.02","Bangladesh"
"1950","26.18","Barbados"
"1950","6.23","Belarus"
"1950","9.83","Belgium"
"1950","24.78","Belize"
"1950","27.16","Benin"
"1950","11.97","Bhutan"
"1950","20.85","Bolivia"
"1950","26.76","Bonaire, Saint Eustatius And Saba"
"1950","11.7","Bosnia And Herzegovina"
"1950","22.12","Botswana"
"1950","24.64","Brazil"
"1950","26","British Virgin Islands"
"1950","11.46","Bulgaria"
"1950","27.77","Burkina Faso"
"1950","23.81","Burma"
"1950","20.04","Burundi"
"1950","26.79","Cambodia"
"1950","24.43","Cameroon"
"1950","-5.95","Canada"
"1950","24.34","Cape Verde"
"1950","26.47","Cayman Islands"
"1950","25.25","Central African Republic"
"1950","26.59","Chad"
"1950","9.29","Chile"
"1950","6.64","China"
"1950","25.82","Christmas Island"
"1950","24.43","Colombia"
"1950","25.63","Comoros"
"1950","24.7","Congo"
"1950","23.76","Congo (Democratic Republic Of The)"
"1950","25.37","Costa Rica"
"1950","25.88","Côte D'Ivoire"
"1950","12.43","Croatia"
"1950","25.14","Cuba"
"1950","26.92","Curaçao"
"1950","18.8","Cyprus"
"1950","8.3","Czech Republic"
"1950","-17.59","Denmark"
"1950","8.34","Denmark (Europe)"
"1950","28.36","Djibouti"
"1950","25.8","Dominica"
"1950","25.24","Dominican Republic"
"1950","21.33","Ecuador"
"1950","22.68","Egypt"
"1950","24.64","El Salvador"
"1950","25.08","Equatorial Guinea"
"1950","26.67","Eritrea"
"1950","5.24","Estonia"
"1950","22.66","Ethiopia"
"1950","8.49","Europe"
"1950","5.7","Falkland Islands (Islas Malvinas)"
"1950","7.01","Faroe Islands"
"1950","27.03","Federated States Of Micronesia"
"1950","25.29","Fiji"
"1950","2.21","Finland"
"1950","13.23","France"
"1950","10.92","France (Europe)"
"1950","25.78","French Guiana"
"1950","25.91","French Polynesia"
"1950","24.43","Gabon"
"1950","27.42","Gambia"
"1950","19.3","Gaza Strip"
"1950","7.96","Georgia"
"1950","8.65","Germany"
"1950","26.69","Ghana"
"1950","15.64","Greece"
"1950","-18.13","Greenland"
"1950","26.46","Grenada"
"1950","25.95","Guadeloupe"
"1950","26.87","Guam"
"1950","22.9","Guatemala"
"1950","11.21","Guernsey"
"1950","25.33","Guinea"
"1950","26.63","Guinea Bissau"
"1950","26.02","Guyana"
"1950","25.96","Haiti"
"1950","24.37","Honduras"
"1950","23.05","Hong Kong"
"1950","10.68","Hungary"
"1950","1.85","Iceland"
"1950","23.66","India"
"1950","25.65","Indonesia"
"1950","16.91","Iran"
"1950","21.31","Iraq"
"1950","9.46","Ireland"
"1950","9.43","Isle Of Man"
"1950","19.71","Israel"
"1950","13.71","Italy"
"1950","25.72","Jamaica"
"1950","12.59","Japan"
"1950","11.21","Jersey"
"1950","19.4","Jordan"
"1950","4.27","Kazakhstan"
"1950","23.95","Kenya"
"1950","26.68","Kingman Reef"
"1950","26.32","Kiribati"
"1950","24.62","Kuwait"
"1950","2.63","Kyrgyzstan"
"1950","23.77","Laos"
"1950","5.77","Latvia"
"1950","17.7","Lebanon"
"1950","14","Lesotho"
"1950","25.32","Liberia"
"1950","21.88","Libya"
"1950","5.44","Liechtenstein"
"1950","6.47","Lithuania"
"1950","9.56","Luxembourg"
"1950","22.82","Macau"
"1950","11.55","Macedonia"
"1950","22.51","Madagascar"
"1950","21.01","Malawi"
"1950","25.91","Malaysia"
"1950","27.9","Mali"
"1950","19.21","Malta"
"1950","25.8","Martinique"
"1950","27.31","Mauritania"
"1950","23.37","Mauritius"
"1950","26.26","Mayotte"
"1950","21.26","Mexico"
"1950","9.63","Moldova"
"1950","9.81","Monaco"
"1950","-0.82","Mongolia"
"1950","11.56","Montenegro"
"1950","25.98","Montserrat"
"1950","17.95","Morocco"
"1950","23.41","Mozambique"
"1950","20.43","Namibia"
"1950","14.65","Nepal"
"1950","9.85","Netherlands"
"1950","9.48","Netherlands (Europe)"
"1950","23.26","New Caledonia"
"1950","10.62","New Zealand"
"1950","25.69","Nicaragua"
"1950","26.74","Niger"
"1950","26.67","Nigeria"
"1950","25.28","Niue"
"1950","1.87","North America"
"1950","7.23","North Korea"
"1950","26.87","Northern Mariana Islands"
"1950","0.98","Norway"
"1950","21.2","Oceania"
"1950","26.3","Oman"
"1950","19.69","Pakistan"
"1950","27.05","Palau"
"1950","23.32","Palestina"
"1950","26.7","Palmyra Atoll"
"1950","25.98","Panama"
"1950","24.59","Papua New Guinea"
"1950","23.43","Paraguay"
"1950","19.58","Peru"
"1950","26.53","Philippines"
"1950","8.13","Poland"
"1950","15.07","Portugal"
"1950","25.11","Puerto Rico"
"1950","26.29","Qatar"
"1950","23.07","Reunion"
"1950","9.76","Romania"
"1950","-5.61","Russia"
"1950","19.26","Rwanda"
"1950","26.27","Saint Barthélemy"
"1950","25.48","Saint Kitts And Nevis"
"1950","26.33","Saint Lucia"
"1950","26.27","Saint Martin"
"1950","4.29","Saint Pierre And Miquelon"
"1950","26.46","Saint Vincent And The Grenadines"
"1950","26.27","Samoa"
"1950","14.92","San Marino"
"1950","25.92","Sao Tome And Principe"
"1950","25.36","Saudi Arabia"
"1950","27.82","Senegal"
"1950","11.22","Serbia"
"1950","26.51","Seychelles"
"1950","25.94","Sierra Leone"
"1950","26.56","Singapore"
"1950","26.27","Sint Maarten"
"1950","8.38","Slovakia"
"1950","10.64","Slovenia"
"1950","26.66","Solomon Islands"
"1950","26.57","Somalia"
"1950","17.45","South Africa"
"1950","21.73","South America"
"1950","0.65","South Georgia And The South Sandwich Isla"
"1950","12.34","South Korea"
"1950","14.24","Spain"
"1950","26.97","Sri Lanka"
"1950","26.82","Sudan"
"1950","26.28","Suriname"
"1950","-5.69","Svalbard And Jan Mayen"
"1950","19.03","Swaziland"
"1950","3.07","Sweden"
"1950","7.73","Switzerland"
"1950","17.77","Syria"
"1950","22.04","Taiwan"
"1950","3.2","Tajikistan"
