"Year","Media"
"1950","8.37"
"1951","8.63"
"1952","8.64"
"1953","8.87"
"1954","8.56"
"1955","8.63"
"1956","8.28"
"1957","8.73"
"1958","8.77"
"1959","8.73"
"1960","8.58"
"1961","8.8"
"1962","8.75"
"1963","8.86"
"1964","8.41"
"1965","8.53"
"1966","8.6"
"1967","8.7"
"1968","8.52"
"1969","8.6"
"1970","8.7"
"1971","8.6"
"1972","8.5"
"1973","8.95"
"1974","8.47"
"1975","8.74"
"1976","8.35"
"1977","8.85"
"1978","8.69"
"1979","8.73"
"1980","8.98"
"1981","9.17"
"1982","8.64"
"1983","9.03"
"1984","8.69"
"1985","8.66"
"1986","8.83"
"1987","8.99"
"1988","9.2"
"1989","8.92"
"1990","9.23"
"1991","9.18"
"1992","8.84"
"1993","8.87"
"1994","9.04"
"1995","9.35"
"1996","9.04"
"1997","9.2"
"1998","9.52"
"1999","9.29"
"2000","9.2"
"2001","9.41"
"2002","9.57"
"2003","9.53"
"2004","9.32"
"2005","9.7"
"2006","9.53"
"2007","9.73"
"2008","9.43"
"2009","9.51"
"2010","9.7"
